3.0383 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
146.6965 	DATA 	Keypress: right
146.7057 	EXP 	fixation: autoDraw = False
146.7057 	EXP 	grating: autoDraw = False
146.7062 	EXP 	window1: recordFrameIntervals = False
147.6857 	EXP 	fixation: autoDraw = True
148.6885 	EXP 	fixation: autoDraw = False
148.7053 	EXP 	grating: autoDraw = True
148.7053 	EXP 	grating: tex = 'sin'
148.9602 	DATA 	Keypress: left
148.9761 	EXP 	window1: recordFrameIntervals = False
148.9884 	EXP 	fixation: autoDraw = False
148.9884 	EXP 	grating: autoDraw = False
148.9888 	EXP 	window1: recordFrameIntervals = False
149.9663 	EXP 	fixation: autoDraw = True
150.9711 	EXP 	fixation: autoDraw = False
150.9881 	EXP 	grating: autoDraw = True
150.9881 	EXP 	grating: tex = 'sin'
151.2751 	EXP 	window1: recordFrameIntervals = False
151.2773 	DATA 	Keypress: right
151.2879 	EXP 	grating: autoDraw = False
151.2879 	EXP 	fixation: autoDraw = False
151.2879 	EXP 	grating: autoDraw = False
151.2882 	EXP 	window1: recordFrameIntervals = False
152.2655 	EXP 	fixation: autoDraw = True
